detector	topk	nh	dev_accuracy	data	precision	recall	f1-score	support
trec&mpqa	1	14	1.0	test_mpqa	1.0	0.9955	0.9977449260836884	2000
trec&mpqa	1	14	1.0	test_mr	1.0	0.48	0.6486486486486487	2000
trec&mpqa	1	14	1.0	test_sst2	1.0	0.4595	0.6296676944158959	2000
trec&mpqa	1	14	1.0	test_subj	1.0	0.5985	0.7488270253362528	2000
trec&mpqa	1	14	1.0	test_trec	1.0	0.9955	0.9977449260836884	2000
trec&mpqa	3	1	0.955	dev_trec	0.972972972972973	0.936	0.9541284403669725	500
trec&mpqa	3	1	0.955	dev_mpqa	0.9383429672447013	0.974	0.9558390578999019	500
trec&mpqa	3	1	0.955	test_cr	1.0	0.841	0.9136338946224878	2000
trec&mpqa	3	1	0.955	test_mpqa	1.0	0.9665	0.9829646580218663	2000
trec&mpqa	3	1	0.955	test_mr	1.0	0.901	0.9479221462388217	2000
trec&mpqa	3	1	0.955	test_sst2	1.0	0.876	0.933901918976546	2000
trec&mpqa	3	1	0.955	test_subj	1.0	0.936	0.9669421487603307	2000
trec&mpqa	3	1	0.955	test_trec	1.0	0.9465	0.9725147701001798	2000
trec&mpqa	3	5	1.0	dev_trec	1.0	1.0	1.0	500
trec&mpqa	3	5	1.0	dev_mpqa	1.0	1.0	1.0	500
trec&mpqa	3	5	1.0	test_cr	1.0	0.606	0.7546699875466999	2000
trec&mpqa	3	5	1.0	test_mpqa	1.0	0.9965	0.9982469321312296	2000
trec&mpqa	3	5	1.0	test_mr	1.0	0.5715	0.7273305758829145	2000
trec&mpqa	3	5	1.0	test_sst2	1.0	0.573	0.7285441830896376	2000
trec&mpqa	3	5	1.0	test_subj	1.0	0.626	0.7699876998769988	2000
trec&mpqa	3	5	1.0	test_trec	1.0	0.987	0.9934574735782586	2000
trec&mpqa	3	14	1.0	dev_trec	1.0	1.0	1.0	500
trec&mpqa	3	14	1.0	dev_mpqa	1.0	1.0	1.0	500
trec&mpqa	3	14	1.0	test_cr	1.0	0.432	0.6033519553072626	2000
trec&mpqa	3	14	1.0	test_mpqa	1.0	0.995	0.9974937343358395	2000
trec&mpqa	3	14	1.0	test_mr	1.0	0.463	0.632946001367054	2000
trec&mpqa	3	14	1.0	test_sst2	1.0	0.4865	0.6545576858392197	2000
trec&mpqa	3	14	1.0	test_subj	1.0	0.4465	0.61735222951953	2000
trec&mpqa	3	14	1.0	test_trec	1.0	0.998	0.998998998998999	2000
trec&mr	1	1	0.938	dev_trec	0.9524793388429752	0.922	0.9369918699186993	500
trec&mr	1	1	0.938	dev_mr	0.9244186046511628	0.954	0.9389763779527558	500
trec&mr	1	1	0.938	test_cr	1.0	0.913	0.9545216936748563	2000
trec&mr	1	1	0.938	test_mpqa	1.0	0.961	0.9801121876593575	2000
trec&mr	1	1	0.938	test_mr	1.0	0.9435	0.9709287368150245	2000
trec&mr	1	1	0.938	test_sst2	1.0	0.916	0.9561586638830899	2000
trec&mr	1	1	0.938	test_subj	1.0	0.965	0.9821882951653944	2000
trec&mr	1	1	0.938	test_trec	1.0	0.93	0.9637305699481865	2000
trec&mr	1	5	0.97	dev_trec	0.9776422764227642	0.962	0.969758064516129	500
trec&mr	1	5	0.97	dev_mr	0.9625984251968503	0.978	0.9702380952380953	500
trec&mr	1	5	0.97	test_cr	1.0	0.9635	0.9814107461166285	2000
trec&mr	1	5	0.97	test_mpqa	1.0	0.998	0.998998998998999	2000
trec&mr	1	5	0.97	test_mr	1.0	0.967	0.9832231825114387	2000
trec&mr	1	5	0.97	test_sst2	1.0	0.955	0.9769820971867007	2000
trec&mr	1	5	0.97	test_subj	1.0	0.978	0.9888776541961577	2000
trec&mr	1	5	0.97	test_trec	1.0	0.9615	0.9803721641600815	2000
trec&mr	1	14	0.997	dev_trec	1.0	0.994	0.9969909729187563	500
trec&mr	1	14	0.997	dev_mr	0.9940357852882704	1.0	0.9970089730807578	500
trec&mr	1	14	0.997	test_cr	1.0	0.995	0.9974937343358395	2000
trec&mr	1	14	0.997	test_mpqa	1.0	0.9535	0.9761965702585104	2000
trec&mr	1	14	0.997	test_mr	1.0	0.9935	0.9967394030599448	2000
trec&mr	1	14	0.997	test_sst2	1.0	0.985	0.9924433249370278	2000
trec&mr	1	14	0.997	test_subj	1.0	0.9895	0.9947222920331742	2000
trec&mr	1	14	0.997	test_trec	1.0	0.99	0.9949748743718593	2000
trec&mr	3	1	0.933	dev_trec	0.971677559912854	0.892	0.9301355578727842	500
trec&mr	3	1	0.933	dev_mr	0.9001848428835489	0.974	0.9356388088376562	500
trec&mr	3	1	0.933	test_cr	1.0	0.92	0.9583333333333334	2000
trec&mr	3	1	0.933	test_mpqa	1.0	0.977	0.9883662114314619	2000
trec&mr	3	1	0.933	test_mr	1.0	0.978	0.9888776541961577	2000
trec&mr	3	1	0.933	test_sst2	1.0	0.9675	0.9834815756035579	2000
trec&mr	3	1	0.933	test_subj	1.0	0.982	0.9909182643794148	2000
trec&mr	3	1	0.933	test_trec	1.0	0.905	0.9501312335958005	2000
trec&mr	3	5	0.982	dev_trec	0.9878542510121457	0.976	0.9818913480885312	500
trec&mr	3	5	0.982	dev_mr	0.9762845849802372	0.988	0.9821073558648111	500
trec&mr	3	5	0.982	test_cr	1.0	0.9445	0.9714579583440472	2000
trec&mr	3	5	0.982	test_mpqa	1.0	0.9935	0.9967394030599448	2000
trec&mr	3	5	0.982	test_mr	1.0	0.968	0.983739837398374	2000
trec&mr	3	5	0.982	test_sst2	1.0	0.962	0.9806320081549439	2000
trec&mr	3	5	0.982	test_subj	1.0	0.9795	0.9896438494569336	2000
trec&mr	3	5	0.982	test_trec	1.0	0.9665	0.9829646580218663	2000
trec&mr	3	14	1.0	dev_trec	1.0	1.0	1.0	500
trec&mr	3	14	1.0	dev_mr	1.0	1.0	1.0	500
trec&mr	3	14	1.0	test_cr	1.0	0.9815	0.9906636386575827	2000
trec&mr	3	14	1.0	test_mpqa	1.0	0.948	0.973305954825462	2000
trec&mr	3	14	1.0	test_mr	1.0	0.9865	0.9932041278630759	2000
trec&mr	3	14	1.0	test_sst2	1.0	0.986	0.9929506545820745	2000
trec&mr	3	14	1.0	test_subj	1.0	0.973	0.9863152559553979	2000
trec&mr	3	14	1.0	test_trec	1.0	0.988	0.993963782696177	2000
trec&sst2	1	1	0.921	dev_trec	0.9252525252525252	0.916	0.9206030150753768	500
trec&sst2	1	1	0.921	dev_sst2	0.9168316831683169	0.926	0.9213930348258706	500
trec&sst2	1	1	0.921	test_cr	1.0	0.9315	0.9645353352316852	2000
trec&sst2	1	1	0.921	test_mpqa	1.0	0.9665	0.9829646580218663	2000
trec&sst2	1	1	0.921	test_mr	1.0	0.956	0.9775051124744376	2000
trec&sst2	1	1	0.921	test_sst2	1.0	0.9265	0.9618479107189204	2000
trec&sst2	1	1	0.921	test_subj	1.0	0.9695	0.9845138359989846	2000
trec&sst2	1	1	0.921	test_trec	1.0	0.9245	0.9607690309171213	2000
trec&sst2	1	5	0.963	dev_trec	0.9734151329243353	0.952	0.9625884732052579	500
trec&sst2	1	5	0.963	dev_sst2	0.9530332681017613	0.974	0.963402571711177	500
trec&sst2	1	5	0.963	test_cr	1.0	0.9685	0.983997967995936	2000
trec&sst2	1	5	0.963	test_mpqa	1.0	0.9975	0.9987484355444306	2000
trec&sst2	1	5	0.963	test_mr	1.0	0.974	0.9868287740628165	2000
trec&sst2	1	5	0.963	test_sst2	1.0	0.962	0.9806320081549439	2000
trec&sst2	1	5	0.963	test_subj	1.0	0.9825	0.991172761664565	2000
trec&sst2	1	5	0.963	test_trec	1.0	0.9575	0.9782886334610472	2000
trec&sst2	1	14	0.994	dev_trec	0.994	0.994	0.994	500
trec&sst2	1	14	0.994	dev_sst2	0.994	0.994	0.994	500
trec&sst2	1	14	0.994	test_cr	1.0	0.9965	0.9982469321312296	2000
trec&sst2	1	14	0.994	test_mpqa	1.0	0.9975	0.9987484355444306	2000
trec&sst2	1	14	0.994	test_mr	1.0	0.9955	0.9977449260836884	2000
trec&sst2	1	14	0.994	test_sst2	1.0	0.994	0.9969909729187563	2000
trec&sst2	1	14	0.994	test_subj	1.0	0.991	0.9954796584630838	2000
trec&sst2	1	14	0.994	test_trec	1.0	0.987	0.9934574735782586	2000
trec&sst2	3	1	0.927	dev_trec	0.9651416122004357	0.886	0.9238790406673618	500
trec&sst2	3	1	0.927	dev_sst2	0.8946395563770795	0.968	0.9298751200768492	500
trec&sst2	3	1	0.927	test_cr	1.0	0.9315	0.9645353352316852	2000
trec&sst2	3	1	0.927	test_mpqa	1.0	0.9815	0.9906636386575827	2000
trec&sst2	3	1	0.927	test_mr	1.0	0.982	0.9909182643794148	2000
trec&sst2	3	1	0.927	test_sst2	1.0	0.9705	0.9850291804110632	2000
trec&sst2	3	1	0.927	test_subj	1.0	0.985	0.9924433249370278	2000
trec&sst2	3	1	0.927	test_trec	1.0	0.905	0.9501312335958005	2000
trec&sst2	3	5	0.975	dev_trec	0.9797979797979798	0.97	0.9748743718592964	500
trec&sst2	3	5	0.975	dev_sst2	0.9702970297029703	0.98	0.9751243781094527	500
trec&sst2	3	5	0.975	test_cr	1.0	0.9735	0.9865720800608057	2000
trec&sst2	3	5	0.975	test_mpqa	1.0	0.996	0.9979959919839679	2000
trec&sst2	3	5	0.975	test_mr	1.0	0.984	0.9919354838709677	2000
trec&sst2	3	5	0.975	test_sst2	1.0	0.9745	0.9870853380602685	2000
trec&sst2	3	5	0.975	test_subj	1.0	0.986	0.9929506545820745	2000
trec&sst2	3	5	0.975	test_trec	1.0	0.958	0.9785495403472931	2000
trec&sst2	3	14	1.0	dev_trec	1.0	1.0	1.0	500
trec&sst2	3	14	1.0	dev_sst2	1.0	1.0	1.0	500
trec&sst2	3	14	1.0	test_cr	1.0	0.954	0.9764585465711361	2000
trec&sst2	3	14	1.0	test_mpqa	1.0	0.9485	0.9735694123684885	2000
trec&sst2	3	14	1.0	test_mr	1.0	0.977	0.9883662114314619	2000
trec&sst2	3	14	1.0	test_sst2	1.0	0.977	0.9883662114314619	2000
trec&sst2	3	14	1.0	test_subj	1.0	0.929	0.9631933644375325	2000
trec&sst2	3	14	1.0	test_trec	1.0	0.9685	0.983997967995936	2000
trec&subj	1	1	0.933	dev_trec	0.9338677354709419	0.932	0.932932932932933	500
trec&subj	1	1	0.933	dev_subj	0.9321357285429142	0.934	0.933066933066933	500
trec&subj	1	1	0.933	test_cr	1.0	0.8845	0.938710533297957	2000
trec&subj	1	1	0.933	test_mpqa	1.0	0.9475	0.9730423620025674	2000
trec&subj	1	1	0.933	test_mr	1.0	0.917	0.9567031820552947	2000
trec&subj	1	1	0.933	test_sst2	1.0	0.8855	0.9392734022805621	2000
trec&subj	1	1	0.933	test_subj	1.0	0.951	0.9748846745258841	2000
trec&subj	1	1	0.933	test_trec	1.0	0.9395	0.9688063934003609	2000
trec&subj	1	5	0.963	dev_trec	0.96579476861167	0.96	0.9628886659979938	500
trec&subj	1	5	0.963	dev_subj	0.9602385685884692	0.966	0.963110667996012	500
trec&subj	1	5	0.963	test_cr	1.0	0.9645	0.9819292440824637	2000
trec&subj	1	5	0.963	test_mpqa	1.0	0.956	0.9775051124744376	2000
trec&subj	1	5	0.963	test_mr	1.0	0.966	0.982706002034588	2000
trec&subj	1	5	0.963	test_sst2	1.0	0.952	0.9754098360655737	2000
trec&subj	1	5	0.963	test_subj	1.0	0.9825	0.991172761664565	2000
trec&subj	1	5	0.963	test_trec	1.0	0.9615	0.9803721641600815	2000
trec&subj	1	14	0.995	dev_trec	0.9959919839679359	0.994	0.994994994994995	500
trec&subj	1	14	0.995	dev_subj	0.9940119760479041	0.996	0.995004995004995	500
trec&subj	1	14	0.995	test_cr	1.0	0.977	0.9883662114314619	2000
trec&subj	1	14	0.995	test_mpqa	1.0	0.8175	0.8995873452544705	2000
trec&subj	1	14	0.995	test_mr	1.0	0.9865	0.9932041278630759	2000
trec&subj	1	14	0.995	test_sst2	1.0	0.9765	0.9881102959777384	2000
trec&subj	1	14	0.995	test_subj	1.0	0.987	0.9934574735782586	2000
trec&subj	1	14	0.995	test_trec	1.0	0.9855	0.9926970536388819	2000
trec&subj	3	1	0.943	dev_trec	0.9763440860215054	0.908	0.9409326424870466	500
trec&subj	3	1	0.943	dev_subj	0.914018691588785	0.978	0.944927536231884	500
trec&subj	3	1	0.943	test_cr	1.0	0.887	0.9401165871754107	2000
trec&subj	3	1	0.943	test_mpqa	1.0	0.9745	0.9870853380602685	2000
trec&subj	3	1	0.943	test_mr	1.0	0.964	0.9816700610997963	2000
trec&subj	3	1	0.943	test_sst2	1.0	0.9505	0.9746218918226096	2000
trec&subj	3	1	0.943	test_subj	1.0	0.9715	0.985544002028912	2000
trec&subj	3	1	0.943	test_trec	1.0	0.9145	0.9553408200574564	2000
trec&subj	3	5	0.976	dev_trec	0.9798387096774194	0.972	0.9759036144578314	500
trec&subj	3	5	0.976	dev_subj	0.9722222222222222	0.98	0.9760956175298804	500
trec&subj	3	5	0.976	test_cr	1.0	0.963	0.9811512990320936	2000
trec&subj	3	5	0.976	test_mpqa	1.0	0.95	0.9743589743589743	2000
trec&subj	3	5	0.976	test_mr	1.0	0.9765	0.9881102959777384	2000
trec&subj	3	5	0.976	test_sst2	1.0	0.9665	0.9829646580218663	2000
trec&subj	3	5	0.976	test_subj	1.0	0.982	0.9909182643794148	2000
trec&subj	3	5	0.976	test_trec	1.0	0.9635	0.9814107461166285	2000
trec&subj	3	14	1.0	dev_trec	1.0	1.0	1.0	500
trec&subj	3	14	1.0	dev_subj	1.0	1.0	1.0	500
trec&subj	3	14	1.0	test_cr	1.0	0.9795	0.9896438494569336	2000
trec&subj	3	14	1.0	test_mpqa	1.0	0.861	0.9253089736700698	2000
trec&subj	3	14	1.0	test_mr	1.0	0.986	0.9929506545820745	2000
trec&subj	3	14	1.0	test_sst2	1.0	0.9825	0.991172761664565	2000
trec&subj	3	14	1.0	test_subj	1.0	0.984	0.9919354838709677	2000
trec&subj	3	14	1.0	test_trec	1.0	0.979	0.989388580090955	2000
